File,Hits,Tokens,Total
underhill-e1,69,69,300
vanbr-e3,314,310,2321
vicary-e1,166,160,1099
victoria-186x-diary-2,101,101,859
victoria-186x-official-letters-2,173,172,624
victoria-186x-private-letters-1,139,138,822
walpole-174x-1,142,141,660
walpole-179x-2,124,123,661
walton-e3,208,206,1000
watson-1817-1,254,252,2658
watts-1726-2,47,47,410
wcecil-1560-e1,22,22,73
wcecil-1580-e2,14,14,65
weathers-1913-1,97,94,395
webster-1718-1,27,27,77
wellesley-1815-1,157,157,541
wesley-174x-1,121,121,725
wesley-1750-2,24,23,194
wesley-1755-2,44,43,322
whewell-1837-1,81,80,404
white-1784-2,124,124,396
whitefield-1737-2,106,101,317
wilde-1895-1,119,118,990
william-1832-2,132,131,314
wollaston-1793-1,131,128,339
wollstonecraft-1787-2,163,161,663
wolsey-e1,34,34,101
wood-1864-2,101,101,461
wpaston2-e2,5,5,37
wplumpt-1500-e1,3,3,30
wplumpt-1510-e1,2,2,12
wplumpt-1530-e1,3,3,21
wyld-1725-2,56,55,415
yonge-1865-1,148,147,627
zouch-e3,4,4,12
